conf-1 | conference | Face Recognition Using Isodensity Maps: A Neural Network Approach
conf-2 | conference | Morphological Image Processing Software Toolkit For Undergraduate IT Courses
conf-3 | conference | Designing Information Security Laboratories For Undergraduate Engineering Courses
conf-4 | conference | A Novel Approach To Design Intelligent Path Finder
conf-5 | conference | Low Cost Design Of Automatic Robot : 'Microcart'
conf-6 | conference | Face Recognition Using Soft Computing Tools
conf-7 | conference | Image Compression using Hybrid AMBTC+VQ Technique
conf-8 | conference | VLSI Implementation of Viterbi Decoder
conf-9 | conference | PC Based Multimedia Messaging Service Transcoding
conf-10 | conference | Bio-Medical Image Enhancement
conf-11 | conference | Secure Transfer of Biomedical Images and Patients Information over Public Data Network
conf-12 | conference | Human Visual System Based Medical Image Compression Using Set Partitioning In Hierarchical Trees (SPIHT)
conf-13 | conference | Telemedicine System Based On Public Network
conf-14 | conference | Fault Detection In PCB Using Homotopic Morphological Operator
conf-15 | conference | An overview of JPEG 2000
conf-16 | conference | Web Based Education: Pros And Cons
conf-17 | conference | Wireless Software Device : A Modern Approach To Radio Engineering
conf-18 | conference | PID CONTROLLER USING DSP TMS320VC5416 PROCESSOR
conf-19 | conference | Review of Image Segmentation Techniques
conf-22 | conference | Image Recognition with Discrete Wavelet Transform
conf-23 | conference | Image Mining using Wavelet Transform
conf-24 | conference | Face Recognition using DWT + PCA
conf-25 | conference | CDMA MODEM Using Direct Sequence Spread Spectrum
conf-26 | conference | AudioWatermarking
conf-27 | conference | Burrow Wheeler's Transform For Efficient RLE Compression Applied to Audio Files
conf-28 | conference | Fracture Detection Using Euler Numbers
conf-29 | conference | Image Enhancement Techniques Pixel Operation In Spatial Domain
conf-30 | conference | Watermark Logo in Digital Image Using DWT
conf-32 | conference | Comparison of MPEG Video Encryption Algorithms
conf-33 | conference | Modified Set Partitioning in Hierarchical Tree
conf-35 | conference | Face Detection and Geometric Face Normalization
conf-36 | conference | Dual Watermarking in Video using Discrete Wavelet Transform
conf-37 | conference | Perceptual Video Encryption for Multimedia Applications
conf-38 | conference | Face Expression and Detection
conf-40 | conference | Audio Steganography Using Spectrum Manipulation
conf-41 | conference | ECG feature Extraction using Wavelet Based Derivative Approach
